A1A2|BC,(((1-exp(-t_{6}))+(((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((1-2*exp(-t_{8}-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((exp(-t_{9})/3)+(exp(-t_{9})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((1-2*exp(-t_{12}-t_{10})/3))))*r_{1}+((1-exp(-t_{6}))+(((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((1-2*exp(-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((exp(-t_{9}-t_{8})/3)+(exp(-t_{9}-t_{8})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((1-2*exp(-t_{12}-t_{10})/3))))*(1-r_{1}))
A1B|A2C,(((((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((exp(-t_{8}-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((1-2*exp(-t_{9})/3)+(exp(-t_{9})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((exp(-t_{12}-t_{10})/3))))*r_{1}+((((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((exp(-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((1-2*exp(-t_{9}-t_{8})/3)+(exp(-t_{9}-t_{8})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((exp(-t_{12}-t_{10})/3))))*(1-r_{1}))
A1C|A2B,(((((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((exp(-t_{8}-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((exp(-t_{9})/3)+(1-2*exp(-t_{9})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((exp(-t_{12}-t_{10})/3))))*r_{1}+((((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((exp(-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((exp(-t_{9}-t_{8})/3)+(1-2*exp(-t_{9}-t_{8})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((exp(-t_{12}-t_{10})/3))))*(1-r_{1}))
A1A2|BD,(((1-exp(-t_{6}))+(((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((1-2*exp(-t_{8}-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((exp(-t_{12}-t_{9})/3)+(exp(-t_{12}-t_{9})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((1-2*exp(-t_{10})/3))))*r_{1}+((1-exp(-t_{6}))+(((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((1-2*exp(-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((exp(-t_{12}-t_{9}-t_{8})/3)+(exp(-t_{12}-t_{9}-t_{8})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((1-2*exp(-t_{10})/3))))*(1-r_{1}))
A1B|A2D,(((((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((exp(-t_{8}-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((1-2*exp(-t_{12}-t_{9})/3)+(exp(-t_{12}-t_{9})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((exp(-t_{10})/3))))*r_{1}+((((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((exp(-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((1-2*exp(-t_{12}-t_{9}-t_{8})/3)+(exp(-t_{12}-t_{9}-t_{8})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((exp(-t_{10})/3))))*(1-r_{1}))
A1D|A2B,(((((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((exp(-t_{8}-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((exp(-t_{12}-t_{9})/3)+(1-2*exp(-t_{12}-t_{9})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((exp(-t_{10})/3))))*r_{1}+((((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((exp(-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((exp(-t_{12}-t_{9}-t_{8})/3)+(1-2*exp(-t_{12}-t_{9}-t_{8})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((exp(-t_{10})/3))))*(1-r_{1}))
A1A2|CD,((1-exp(-t_{6}))+(((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((1-2*exp(-t_{9}-t_{8}-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((exp(-t_{12})/3)+(exp(-t_{12})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((1-2*exp(-t_{10})/3))))
A1C|A2D,((((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((exp(-t_{9}-t_{8}-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((1-2*exp(-t_{12})/3)+(exp(-t_{12})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((exp(-t_{10})/3))))
A1D|A2C,((((exp(-t_{6})*r_{2})*(r_{2}*1-rho+rho))*((exp(-t_{9}-t_{8}-t_{7})/3)))+(((exp(-t_{6})*(1-r_{2}))*r_{2}*1-rho)*((exp(-t_{12})/3)+(1-2*exp(-t_{12})/3)))+(((exp(-t_{6})*(1-r_{2}))*((1-r_{2})*1-rho+rho))*((exp(-t_{10})/3))))
A1B|CD,(((1-2*exp(-t_{9})/3)*r_{2}+(exp(-t_{12})/3)*(1-r_{2}))*r_{1}+((1-2*exp(-t_{9}-t_{8})/3)*r_{2}+(exp(-t_{12})/3)*(1-r_{2}))*(1-r_{1}))
A1C|BD,(((exp(-t_{9})/3)*r_{2}+(exp(-t_{12})/3)*(1-r_{2}))*r_{1}+((exp(-t_{9}-t_{8})/3)*r_{2}+(exp(-t_{12})/3)*(1-r_{2}))*(1-r_{1}))
A1D|BC,(((exp(-t_{9})/3)*r_{2}+(1-2*exp(-t_{12})/3)*(1-r_{2}))*r_{1}+((exp(-t_{9}-t_{8})/3)*r_{2}+(1-2*exp(-t_{12})/3)*(1-r_{2}))*(1-r_{1}))
A2B|CD,(((1-2*exp(-t_{9})/3)*r_{2}+(exp(-t_{12})/3)*(1-r_{2}))*r_{1}+((1-2*exp(-t_{9}-t_{8})/3)*r_{2}+(exp(-t_{12})/3)*(1-r_{2}))*(1-r_{1}))
A2C|BD,(((exp(-t_{9})/3)*r_{2}+(exp(-t_{12})/3)*(1-r_{2}))*r_{1}+((exp(-t_{9}-t_{8})/3)*r_{2}+(exp(-t_{12})/3)*(1-r_{2}))*(1-r_{1}))
A2D|BC,(((exp(-t_{9})/3)*r_{2}+(1-2*exp(-t_{12})/3)*(1-r_{2}))*r_{1}+((exp(-t_{9}-t_{8})/3)*r_{2}+(1-2*exp(-t_{12})/3)*(1-r_{2}))*(1-r_{1}))
